468.0,"[array([ 7.31389, 43.81194]), array([ 7.20248 , 43.681378])]"
469.0,"[array([ 7.01361, 43.92083]), array([ 7.19   , 43.67333]), array([ 7.175122, 43.660494]), array([ 6.968703, 43.612415]), array([ 7.106229, 43.723351])]"
471.0,"[array([ 7.31389, 43.81194]), array([ 7.265609, 43.727527]), array([ 7.20248 , 43.681378])]"
472.0,"[array([ 7.01361, 43.92083]), array([ 6.89361, 43.95611])]"
473.0,"[array([-0.35306, 49.13833]), array([-0.35306, 49.13833]), array([-0.36, 49.18]), array([-0.37056, 49.18222]), array([-0.76889, 48.60333]), array([-0.50333, 49.09972]), array([-0.4525, 49.155 ]), array([-0.37056, 49.18222]), array([-0.37056, 49.18222]), array([-0.45778, 49.33278]), array([-0.37056, 49.18222]), array([-0.37056, 49.18222]), array([-0.25833, 49.27917]), array([-0.37056, 49.18222]), array([-0.3    , 49.22889]), array([-0.37056, 49.18222]), array([-0.37056, 49.18222]), array([-0.20333, 49.27806]), array([-0.37056, 49.18222]), array([-0.11639, 49.28833]), array([-0.37056, 49.18222]), array([-0.1675 , 49.12639]), array([-0.32111, 49.17389]), array([-0.37056, 49.18222]), array([-0.32639, 49.20361]), array([-0.325, 49.045])]"
474.0,"[array([-0.47139, 48.74611]), array([-0.76889, 48.60333]), array([-0.64028, 48.59028]), array([-0.64028, 48.59028]), array([-0.35722, 48.5925 ]), array([-0.35722, 48.5925 ]), array([-0.36694, 48.69889]), array([-0.47049 , 48.745423]), array([-0.491367, 48.814599]), array([-0.5521, 48.8488]), array([-0.5521, 48.8488]), array([-0.5521, 48.8488]), array([-0.26733 , 48.944795]), array([-0.62639, 48.79778]), array([-0.56944, 48.74833]), array([-0.56944, 48.74833]), array([-0.56944, 48.74833]), array([-0.56944, 48.74833]), array([-0.56944, 48.74833]), array([-0.56944, 48.74833]), array([-0.59861, 48.76278]), array([-0.680726, 48.724357]), array([-0.67778, 48.72861]), array([-0.73417, 48.76278]), array([-0.792866, 48.685188]), array([-0.94083, 48.64778]), array([-0.83194, 48.59917])]"
475.0,"[array([ 6.36611, 49.03833]), array([ 5.87722, 49.15889]), array([ 5.92861, 49.46972]), array([ 5.89972, 49.31056]), array([ 5.89583, 49.37028]), array([ 5.73222, 49.50111]), array([ 5.60056, 49.44694])]"
477.0,"[array([ 7.18417, 43.94694]), array([ 7.005072, 43.673345]), array([ 6.92827 , 43.663416]), array([ 6.970568, 43.61969 ]), array([ 6.995666, 43.600732]), array([ 6.952668, 43.554581]), array([ 7.137853, 43.667838]), array([ 7.106229, 43.723351]), array([ 7.262805, 43.707311]), array([ 7.275633, 43.697962]), array([ 7.268764, 43.702559]), array([ 7.482523, 43.704097]), array([ 7.203808, 43.802079]), array([ 7.216296, 43.791327]), array([ 7.44833, 43.87694]), array([ 7.307746, 44.011764])]"
479.0,"[array([ 7.106229, 43.723351]), array([ 7.005072, 43.673345]), array([ 6.92827 , 43.663416]), array([ 6.952668, 43.554581]), array([ 6.970568, 43.61969 ]), array([ 6.995666, 43.600732]), array([ 7.137853, 43.667838]), array([ 7.18417, 43.94694])]"
481.0,"[array([ 7.18417, 43.94694]), array([ 7.275633, 43.697962]), array([ 7.262805, 43.707311]), array([ 7.268764, 43.702559]), array([ 7.482523, 43.704097]), array([ 7.203808, 43.802079]), array([ 7.216296, 43.791327]), array([ 7.307746, 44.011764])]"
482.0,"[array([ 7.18417, 43.94694]), array([ 7.19222, 43.82222])]"
483.0,"[array([-0.846568, 48.838667]), array([-0.89, 48.83]), array([-0.63194, 49.02028]), array([-0.88917, 48.83861]), array([-0.54056, 49.28389]), array([-0.76889, 48.60333]), array([-0.89, 48.83]), array([-0.88917, 48.83861]), array([-0.837943, 49.012945]), array([-0.80528, 49.09028]), array([-0.70389, 49.27861]), array([-0.70389, 49.27861]), array([-0.58389, 49.3375 ]), array([-0.70389, 49.27861]), array([-0.87306, 49.2425 ]), array([-1.10222, 49.31778]), array([-1.24833, 49.30333]), array([-1.24833, 49.30333]), array([-1.09167, 49.11444]), array([-1.09, 49.11]), array([-1.09, 49.11]), array([-1.09, 49.11]), array([-1.24056, 49.09889]), array([-1.24056, 49.09889]), array([-1.164372, 48.960177]), array([-1.04778, 48.84056]), array([-0.88917, 48.83861]), array([-0.900309, 48.800426])]"
485.0,"[array([ 7.27583, 43.78667]), array([ 7.31389, 43.81194]), array([ 7.22444, 43.86083]), array([ 7.15306, 43.72194]), array([ 7.269927, 43.703689]), array([ 7.276808, 43.700694]), array([ 7.270694, 43.704286]), array([ 7.12139, 43.65806]), array([ 7.09556, 43.62861]), array([ 7.057023, 43.620743]), array([ 7.23167, 43.79139])]"
486.0,"[array([ 7.27583, 43.78667])]"
488.0,"[array([ 7.27583, 43.78667]), array([ 7.31389, 43.81194]), array([ 7.22444, 43.86083]), array([ 7.23167, 43.79139]), array([ 7.19222, 43.82222])]"
489.0,"[array([-2.17972, 47.35083]), array([-2.331662, 47.430207]), array([-2.064708, 47.673486]), array([-1.760244, 47.475745]), array([-1.760965, 47.475829]), array([-1.887532, 47.35497 ]), array([-1.94859 , 47.343551]), array([-1.930345, 47.373719]), array([-1.88694, 47.54167])]"
494.0,"[array([ 4.99889, 45.47306]), array([ 4.814588, 45.677927])]"
502.0,"[array([-1.887532, 47.35497 ]), array([-2.331662, 47.430207])]"
503.0,"[array([-1.887532, 47.35497 ]), array([-2.331662, 47.430207])]"
506.0,"[array([-1.930345, 47.373719]), array([-1.887532, 47.35497 ]), array([-1.94859 , 47.343551]), array([-2.186094, 47.359454]), array([-2.331662, 47.430207]), array([-2.064708, 47.673486]), array([-1.887117, 47.540953]), array([-1.760965, 47.475829]), array([-1.760244, 47.475745])]"
507.0,"[array([ 6.05417, 48.90444]), array([ 6.18361, 48.69278]), array([ 5.89167, 48.675  ])]"
508.0,"[array([ 2.32722, 48.73083]), array([ 2.320582, 48.859489])]"
510.0,"[array([-1.557821, 47.295685]), array([-1.499572, 47.255673]), array([-1.542848, 47.240123]), array([-1.600109, 47.199358]), array([-1.711512, 47.511718]), array([-1.554664, 47.206494]), array([-1.553909, 47.22339 ]), array([-1.484095, 47.307809])]"
511.0,"[array([ 2.320582, 48.859489]), array([13.393236, 52.504043])]"
513.0,"[array([-2.331662, 47.430207]), array([-1.887532, 47.35497 ])]"
514.0,"[array([-1.711512, 47.511718]), array([-1.60021, 47.1679 ]), array([-1.568102, 47.195177]), array([-1.94859 , 47.343551]), array([-1.930345, 47.373719]), array([-2.17972, 47.35083]), array([-2.331662, 47.430207]), array([-2.064708, 47.673486]), array([-1.55389, 47.21722]), array([-1.55389, 47.21722]), array([-1.55389, 47.21722]), array([-1.88694, 47.54167]), array([-1.760965, 47.475829]), array([-1.760244, 47.475745])]"
515.0,"[array([-1.887532, 47.35497 ]), array([-1.94859 , 47.343551]), array([-1.930345, 47.373719]), array([-2.186094, 47.359454]), array([-2.331662, 47.430207])]"
520.0,"[array([-1.554664, 47.206494]), array([-1.553909, 47.22339 ]), array([-1.711512, 47.511718]), array([-1.542848, 47.240123]), array([-1.600109, 47.199358])]"
522.0,"[array([ 0.58861, 43.64528]), array([ 0.44278, 43.61667]), array([ 0.66361, 43.84944]), array([ 0.45944, 43.75722]), array([ 0.92917, 43.77444]), array([ 0.79583, 43.87583]), array([ 0.66361, 43.84944]), array([ 0.58861, 43.64528])]"
526.0,"[array([ 6.38, 43.6 ]), array([ 6.34083, 43.39167]), array([ 6.63778, 43.44333]), array([ 6.22472, 43.62833]), array([ 6.49722, 43.56861]), array([ 7.00556, 43.67444])]"
528.0,"[array([ 1.924354, 47.917976]), array([ 1.9169449, 47.84645  ]), array([ 1.96944, 47.83   ])]"
529.0,"[array([ 5.034044, 45.777735]), array([ 5.72639, 45.18694])]"
530.0,"[array([ 2.34972, 48.74833]), array([ 4.84139, 45.75889])]"
531.0,"[array([ 1.1025 , 49.44306]), array([ 1.08722, 49.4625 ])]"
532.0,"[array([ 1.1025 , 49.44306]), array([ 1.1525 , 49.02333])]"
533.0,"[array([ 5.16722, 48.77167]), array([ 5.38278, 49.15972]), array([ 5.59167, 48.76417])]"
535.0,"[array([ 1.1025 , 49.44306]), array([ 1.1525 , 49.02333])]"
539.0,"[array([ 1.1025 , 49.44306]), array([ 1.1525 , 49.02333]), array([ 1.52917, 49.07611])]"
546.0,"[array([ 1.1025 , 49.44306]), array([ 1.1525 , 49.02333])]"
547.0,"[array([-0.377369, 49.200588]), array([-0.70389, 49.27861]), array([-1.46917, 49.50917])]"
548.0,"[array([ 4.70389, 45.67778]), array([ 4.84139, 45.75889]), array([ 4.84139, 45.75889])]"
552.0,"[array([-0.757056, 47.012304]), array([-0.71514, 47.05904])]"
553.0,"[array([-4.09778, 47.99583]), array([-2.79583, 48.48944])]"
554.0,"[array([ 2.782429, 48.836039]), array([ 1.71667, 48.99056])]"
560.0,"[array([ 3.09917, 49.97667]), array([ 2.86667, 51.03333])]"
567.0,"[array([ 3.525  , 50.35917]), array([ 3.0575 , 50.63194]), array([ 2.78   , 50.28917])]"
568.0,"[array([ 1.38975, 43.58268]), array([ 1.430772, 43.65779 ]), array([ 1.420786, 43.617607])]"
569.0,"[array([-1.76361, 47.47611]), array([-2.03833, 47.51639])]"
583.0,"[array([-1.35694, 48.68444]), array([-2.76028, 48.51361])]"
586.0,"[array([ 6.78639, 43.77306]), array([ 6.73111, 43.77917]), array([ 6.71028, 43.79667]), array([ 6.72639, 43.84833]), array([ 6.59833, 43.77139]), array([ 6.75778, 43.86528]), array([ 6.64917, 43.85722]), array([ 6.727393, 43.846759])]"
589.0,"[array([ 2.227636, 48.886713]), array([ 2.230161, 48.892085])]"
