id,idA,idB,tps_min,distance_km,cout,CO_g,COV_g,NOX_g,NH3_g,PB_g,SO2_g,PS_g,CO2_g,N2O_g,CH4_g,cout_collectif
3474_3182,3474,3182,445.7833333333333,242.901,210.59802153333334,18.217575,8.501535,53.681121000000005,0.4615119000000001,0.00101289717,0.05829623999999999,0.21861090000000002,61676.93611799999,0.9716039999999998,0.06616617397131959,2.4616304927306847
3474_1338,3474,1338,413.98333333333335,223.039,194.54035313333333,16.727925,7.8063649999999996,49.291619,0.4237741,0.00093007263,0.05352936,0.2007351,56633.616802,0.892156,0.05362442213642312,2.2754082199133747
3474_1321,3474,1321,402.6,242.12199999999996,199.4842004,18.159149999999997,8.47427,53.508962000000004,0.4600318,0.00100964874,0.05810928,0.21790980000000001,61479.133996,0.9684879999999999,0.04517692562582281,2.4326441139424495
3474_3418,3474,3418,436.7,350.592,252.28665439999997,26.2944,12.27072,77.48083199999999,0.6661248,0.0014619686399999997,0.08414208,0.31553280000000006,89021.61945600001,1.402368,0.04741320974567675,3.5806255990755327
3474_13012,3474,13012,406.8666666666667,293.465,221.50907966666665,22.009875,10.271275,64.855765,0.5575834999999999,0.00122374905,0.0704316,0.2641185,74516.04587,1.1738600000000001,0.0588253899479677,2.9742970093768033
3474_1468,3474,1468,362.6166666666667,296.474,211.67485346666666,22.23555,10.37659,65.52075400000001,0.5633005999999999,0.0012362965799999999,0.07115376,0.26682659999999997,75280.08513200001,1.185896,0.04615619706972088,2.9824826047675104
3474_15055,3474,15055,474.5833333333333,287.69,236.08089133333334,21.576749999999997,10.069149999999999,63.57949,0.546611,0.0011996673000000003,0.0690456,0.258921,73049.66942,1.15076,0.04656614042249103,2.928077918289379
3474_15056,3474,15056,462.51666666666665,293.34999999999997,235.37463666666665,22.00125,10.26725,64.83035,0.557365,0.0012232695,0.070404,0.264015,74486.8453,1.1734,0.04797602824595936,2.9624277134059205
3474_15061,3474,15061,416.8,309.806,230.6628092,23.235449999999997,10.84321,68.46712600000001,0.5886314,0.00129189102,0.07435343999999999,0.2788254,78665.31990799999,1.239224,0.047852832532889966,3.114207522580437
3474_1466,3474,1466,397.4,301.28499999999997,222.33453699999998,22.596374999999995,10.544974999999999,66.583985,0.5724415,0.0012563584499999999,0.07230840000000001,0.2711565,76501.68463,1.20514,0.04448408254968845,3.1514512318998995
